
,Trade Date,,20191206

JPX Code,164120005
Instrument,FUT_TOPIX_1912
12560,松井証券,MATSUI SECURITIES,15,11256,ＳＢＩ証券,SBI SECURITIES,21
11256,ＳＢＩ証券,SBI SECURITIES,13,11635,クレディ・スイス証券,Credit Suisse Japan,15
12057,楽天証券,Rakuten Securities,6,12560,松井証券,MATSUI SECURITIES,14
11016,藍澤證券,AIZAWA SECURITIES,4,11784,ライブスター証券,livestar Securities,7
12795,インタラクティブ証券,Interactive Brokers,3,12057,楽天証券,Rakuten Securities,7
11784,ライブスター証券,livestar Securities,3,12464,廣田証券,HIROTA SECURITIES,5
11060,ａｕカブコム証券,au Kabucom Securitie,2,11060,ａｕカブコム証券,au Kabucom Securitie,5
12000,大和証券,Daiwa Securities,2,12410,バークレイズ証券,Barclays Japan,3
12792,メリルリンチ日本証券,Merrill Lynch Japan,1,12330,マネックス証券,Monex,3
-,-,-,-,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,2
-,-,-,-,11544,岩井コスモ証券,IwaiCosmo Securities,1
-,-,-,-,11840,立花証券,TACHIBANA SECURITIES,1
-,-,-,-,11727,ＧＭＯクリック証券,GMO CLICK Securities,1
-,-,-,-,11512,光世証券,The Kosei Securities,1

JPX Code,184123218
Instrument,PUT_NK225_191213_23250
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,162,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),105
11788,ソシエテ・ジェネラル,Societe Generale,129,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,80
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),106,11788,ソシエテ・ジェネラル,Societe Generale,64
11256,ＳＢＩ証券,SBI SECURITIES,27,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,55
12400,野村證券,Nomura Securities,10,12800,モルガンスタンレー,Morgan Stanley MUFG,50
12560,松井証券,MATSUI SECURITIES,9,11256,ＳＢＩ証券,SBI SECURITIES,34
11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,5,12560,松井証券,MATSUI SECURITIES,21
12057,楽天証券,Rakuten Securities,5,12464,廣田証券,HIROTA SECURITIES,12
11060,ａｕカブコム証券,au Kabucom Securitie,5,12057,楽天証券,Rakuten Securities,10
12795,インタラクティブ証券,Interactive Brokers,4,12400,野村證券,Nomura Securities,10
11544,岩井コスモ証券,IwaiCosmo Securities,3,11060,ａｕカブコム証券,au Kabucom Securitie,7
12000,大和証券,Daiwa Securities,3,11056,安藤証券,ANDO SECURITIES,7
12792,メリルリンチ日本証券,Merrill Lynch Japan,2,11544,岩井コスモ証券,IwaiCosmo Securities,5
11784,ライブスター証券,livestar Securities,1,12795,インタラクティブ証券,Interactive Brokers,3
-,-,-,-,11784,ライブスター証券,livestar Securities,2
-,-,-,-,12410,バークレイズ証券,Barclays Japan,2
-,-,-,-,11272,岡三証券,OKASAN SECURITIES,1
-,-,-,-,12000,大和証券,Daiwa Securities,1
-,-,-,-,12024,むさし証券,Musashi Securities,1
-,-,-,-,12330,マネックス証券,Monex,1

JPX Code,134123318
Instrument,PUT_NK225_191213_23375
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,70,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,105
